"Experiment","Neuron Num(s)","Correlation(s)","P-value(s)","Time Stamps","Pop Neuron Size","Bonf Alpha","Sync Ind","P-value (Sync Ind)","Perc Synch","Synchronized Neurons"
"rs_exp4","[6]","[0.53431664]","[0.00046412]","301.0s-421.0s",7,0.007142857142857,0.123765309365674,3.62666003894674E-08,0.571428571428571,"[1 2 3 4]"
"rs_exp5","[5]","[0.42804143]","[0.00158958]","421.5s-541.5s",10,0.005,0.090590325584586,0.000141395393814,0.4,"[1 2 3 5]"
"rs_exp7","[1 12]","[0.48702545 0.66788099]","[0.00291027 0.00280935]","122.0s-242.0s",15,0.003333333333333,0.101224488483606,1.02767107241775E-05,0.266666666666667,"[ 1  5  9 12]"
"rs_exp8","[11]","[0.60696071]","[0.00280541]","384.0s-504.0s",12,0.004166666666667,0.169852193737045,4.65183447317941E-13,0.5,"[ 3  5  6  8  9 11]"
"rs_exp10","[5 14]","[-0.19284742 -0.3759372 ]","[4.64949341e-04 6.69519647e-07]","401.5s-521.5s",14,0.003571428571429,0.102887877845381,6.78921072627681E-06,0.285714285714286,"[ 1  5  7 11]"
"rs_exp12","[8]","[-0.18340428]","[0.00421841]","379.5s-499.5s",10,0.005,0.212748098401284,0,0.5,"[1 3 4 6 9]"
"rs_exp13","[5]","[0.53409332]","[0.00234534]","183.0s-303.0s",13,0.003846153846154,0.192911171182798,2.22044604925031E-15,0.384615384615385,"[ 1  2  5 11 13]"
"rs_exp15","[2]","[0.51006878]","[0.00028355]","422.0s-542.0s",10,0.005,0.132273729132102,4.33530233934221E-09,0.5,"[2 3 4 5 8]"
"rs_exp17","[11 17]","[0.47267636 0.52106568]","[0.0006678  0.00109683]","364.0s-484.0s",22,0.002272727272727,0.11788560726439,1.58342672307299E-07,0.227272727272727,"[ 8 11 13 17 19]"
"rs_exp19","[3]","[0.46202184]","[0.00026684]","479.5s-599.5s",19,0.002631578947368,0.07742001079824,0.00319214650628,0.210526315789474,"[ 1  7  9 10]"
"rs_exp27","[3 12 16]","[0.45439526 0.51317756 0.46031149]","[0.00052206 0.00148225 0.00115447]","121.5s-241.5s",18,0.002777777777778,0.272632777865396,0,0.611111111111111,"[ 1  3  6  9 10 12 14 15 16 17 18]"
"rs_exp30","[6]","[0.51771236]","[0.00311643]","265.5s-385.5s",15,0.003333333333333,0.172440843104681,2.52464715799761E-13,0.4,"[ 2  3  6  9 13 15]"
"rs_exp33","[8]","[0.33847217]","[0.00338856]","366.5s-486.5s",13,0.003846153846154,0.092216656779842,9.50898630978081E-05,0.384615384615385,"[ 6  7  8  9 13]"
"rs_exp36","[11]","[0.52889405]","[3.07185217e-05]","42.5s-162.5s",23,0.002173913043478,0.199509612059804,4.44089209850063E-16,0.391304347826087,"[ 2  4  6 11 13 16 18 19 22]"
"rs_exp40","[14]","[0.56826869]","[0.00161839]","438.0s-558.0s",16,0.003125,0.093862284875975,6.35323145670164E-05,0.25,"[ 2  8 12 15]"
